"3taps code","default?",,"city","state","loc_1","location 1","url","loc_2","location_2",,"Display City State","Display State"
"AUO",,,"US","alabama","auburn","auburn","auburn.craigslist.org",,,,"Auburn AL","Alabama"
"BHM",,,"US","alabama","bham","birmingham","bham.craigslist.org",,,,"Birmingham AL","Alabama"
"DHN",,,"US","alabama","dothan","dothan","dothan.craigslist.org",,,,"Dothan AL","Alabama"
"GAD",,,"US","alabama","gadsden","gadsden-anniston","gadsden.craigslist.org",,,,"Gadsden-Anniston AL","Alabama"
"HSV",,,"US","alabama","huntsville","huntsville / decatur","huntsville.craigslist.org",,,,"Huntsville/Decatur AL","Alabama"
"MOB",,,"US","alabama","mobile","mobile","mobile.craigslist.org",,,,"Mobile AL","Alabama"
"MGM",,,"US","alabama","montgomery","montgomery","montgomery.craigslist.org",,,,"Montgomery AL","Alabama"
"MSL",,,"US","alabama","shoals","florence / muscle shoals","shoals.craigslist.org",,,,"Florence/Muscle Shoals AL","Alabama"
"TCL",,,"US","alabama","tuscaloosa","tuscaloosa","tuscaloosa.craigslist.org",,,,"Tuscaloosa AL","Alabama"
"ANC",,,"US","alaska","anchorage","anchorage / mat-su","anchorage.craigslist.org",,,,"Anchorage/Mat-Su AK","Alaska"
"AKZ",,,"US","alaska","fairbanks","fairbanks","fairbanks.craigslist.org",,,,"Fairbanks AK","Alaska"
"AKZ",,,"US","alaska","juneau","southeast alaska","juneau.craigslist.org",,,,"Southeast AK","Alaska"
"AKZ",,,"US","alaska","kenai","kenai peninsula","kenai.craigslist.org",,,,"Kenai Peninsula AK","Alaska"
"FLG",,,"US","arizona","flagstaff","flagstaff / sedona","flagstaff.craigslist.org",,,,"Flagstaff/Sedona AZ","Arizona"
"AZZ",,,"US","arizona","mohave","mohave county","mohave.craigslist.org",,,,"Mohave Co AZ","Arizona"
"PHX",,,"US","arizona","phoenix","phoenix","phoenix.craigslist.org","cph","central/south phx",,"Phoenix AZ","Arizona"
"PHX",,,"US","arizona","phoenix","phoenix","phoenix.craigslist.org","evl","east valley",,"Phoenix AZ","Arizona"
"PHX",,,"US","arizona","phoenix","phoenix","phoenix.craigslist.org","nph","phx north",,"Phoenix AZ","Arizona"
"PHX",,,"US","arizona","phoenix","phoenix","phoenix.craigslist.org","wvl","west valley",,"Phoenix AZ","Arizona"
"AZZ",,,"US","arizona","prescott","prescott","prescott.craigslist.org",,,,"Prescott AZ","Arizona"
"AZZ",,,"US","arizona","showlow","show low","showlow.craigslist.org",,,,"Show Low AZ","Arizona"
"AZZ",,,"US","arizona","sierravista","sierra vista","sierravista.craigslist.org",,,,"Sierra Vista AZ","Arizona"
"TUS",,,"US","arizona","tucson","tucson","tucson.craigslist.org",,,,"Tucson AZ","Arizona"
"YUM",,,"US","arizona","yuma","yuma","yuma.craigslist.org",,,,"Yuma AZ","Arizona"
"FYV",,,"US","arkansas","fayar","fayetteville ","fayar.craigslist.org",,,,"Fayetteville AR","Arkansas"
"FSM",,,"US","arkansas","fortsmith","fort smith","fortsmith.craigslist.org",,,,"Fort Smith AR","Arkansas"
"JBR",,,"US","arkansas","jonesboro","jonesboro","jonesboro.craigslist.org",,,,"Jonesboro AR","Arkansas"
"LIT",,,"US","arkansas","littlerock","little rock","littlerock.craigslist.org",,,,"Little Rock AR","Arkansas"
"TXZ",,,"US","arkansas","texarkana","texarkana","texarkana.craigslist.org",,,,"Texarkana TX","Texas"
"BFL",,,"US","california","bakersfield","bakersfield","bakersfield.craigslist.org",,,,"Bakersfield CA","California"
"CIC",,,"US","california","chico","chico","chico.craigslist.org",,,,"Chico CA","California"
"FAT",,,"US","california","fresno","fresno / madera","fresno.craigslist.org",,,,"Fresno/Madera CA","California"
"CAZ",,,"US","california","goldcountry","gold country","goldcountry.craigslist.org",,,,"Gold Country CA","California"
"CAZ",,,"US","california","hanford","hanford-corcoran","hanford.craigslist.org",,,,"Hanford-Corcoran CA","California"
"CAZ",,,"US","california","humboldt","humboldt county","humboldt.craigslist.org",,,,"Humboldt Co CA","California"
"CAZ",,,"US","california","imperial","imperial county","imperial.craigslist.org",,,,"Imperial Co CA","California"
"CAZ",,,"US","california","inlandempire","inland empire","inlandempire.craigslist.org",,,,"Inland Empire CA","California"
"LAX","default",,"US","california","losangeles","los angeles","losangeles.craigslist.org","wst","westside-southbay",,"Los Angeles CA","California"
"LAX","default",,"US","california","losangeles","los angeles","losangeles.craigslist.org","sfv","SF valley",,"Los Angeles CA","California"
"LAX","default",,"US","california","losangeles","los angeles","losangeles.craigslist.org","lac","central LA",,"Los Angeles CA","California"
"LAX","default",,"US","california","losangeles","los angeles","losangeles.craigslist.org","sgv","san gabriel valley",,"Los Angeles CA","California"
"LAX","default",,"US","california","losangeles","los angeles","losangeles.craigslist.org","lgb","long beach / 562",,"Los Angeles CA","California"
"LAX","default",,"US","california","losangeles","los angeles","losangeles.craigslist.org","ant","antelope valley",,"Los Angeles CA","California"
"CAZ",,,"US","california","mendocino","mendocino county","mendocino.craigslist.org",,,,"Mendocino Co CA","California"
"MCE",,,"US","california","merced","merced","merced.craigslist.org",,,,"Merced CA","California"
"MOD",,,"US","california","modesto","modesto","modesto.craigslist.org",,,,"Modesto CA","California"
